,Year,Local Government Area,Incidents Recorded,"Rate per 100,000 population"
228,2013, Wellington,2798,6549.5
229,2013, West Wimmera,121,2934.0
230,2013, Whitehorse,5801,3579.1
231,2013, Whittlesea,9986,5570.3
232,2013, Wodonga,2235,5948.1
233,2013, Wyndham,9941,5226.3
234,2013, Yarra,9204,10962.1
235,2013, Yarra Ranges,5053,3348.5
236,2013, Yarriambiack,215,3057.5
237,2014, Alpine,278,2250.1
238,2014, Ararat,797,6894.5
239,2014, Ballarat,7533,7539.5
240,2014, Banyule,6807,5440.9
241,2014, Bass Coast,1996,6253.7
242,2014, Baw Baw,2278,4883.8
243,2014, Bayside,3231,3237.6
244,2014, Benalla,819,5892.9
245,2014, Boroondara,5686,3293.2
246,2014, Brimbank,13725,6915.5
247,2014, Buloke,180,2841.4
248,2014, Campaspe,2330,6240.3
249,2014, Cardinia,3862,4385.1
250,2014, Casey,12926,4489.2
251,2014, Central Goldfields,805,6248.1
252,2014, Colac-Otway,1100,5205.6
253,2014, Corangamite,474,2900.9
254,2014, Darebin,10976,7341.3
255,2014, East Gippsland,2921,6597.1
256,2014, Frankston,10627,7803.6
257,2014, Gannawarra,427,4053.5
258,2014, Glen Eira,4331,3014.0
259,2014, Glenelg,1400,7086.8
260,2014, Golden Plains,467,2234.6
261,2014, Greater Bendigo,6183,5727.4
262,2014, Greater Dandenong,12060,7927.2
263,2014, Greater Geelong,15071,6617.5
264,2014, Greater Shepparton,5629,8806.5
265,2014, Hepburn,494,3253.4
266,2014, Hindmarsh,147,2515.4
267,2014, Hobsons Bay,5557,6146.0
268,2014, Horsham,1577,7985.6
269,2014, Hume,13223,6913.0
270,2014, Indigo,329,2091.3
271,2014, Kingston,7172,4650.8
272,2014, Knox,7160,4547.9
273,2014, Latrobe,7815,10541.7
274,2014, Loddon,237,3154.5
275,2014, Macedon Ranges,1475,3243.8
276,2014, Manningham,3130,2620.6
277,2014, Mansfield,388,4621.8
278,2014, Maribyrnong,6576,7974.5
279,2014, Maroondah,5872,5270.1
280,2014, Melbourne,23725,18538.8
281,2014, Melton,7530,5823.3
282,2014, Mildura,4659,8670.0
283,2014, Mitchell,2145,5488.2
284,2014, Moira,1083,3721.6
285,2014, Monash,6885,3698.6
286,2014, Moonee Valley,6446,5473.7
287,2014, Moorabool,1455,4683.6
288,2014, Moreland,10295,6273.7
289,2014, Mornington Peninsula,7681,4908.0
290,2014, Mount Alexander,671,3626.8
291,2014, Moyne,470,2846.4
292,2014, Murrindindi,517,3777.3
293,2014, Nillumbik,1585,2498.7
294,2014, Northern Grampians,697,5918.3
295,2014, Port Phillip,9080,8693.1
296,2014, Pyrenees,346,4909.9
297,2014, Queenscliffe,102,3434.3
298,2014, South Gippsland,901,3159.1
299,2014, Southern Grampians,706,4343.3
300,2014, Stonnington,7158,6759.6
301,2014, Strathbogie,340,3393.9
302,2014, Surf Coast,982,3401.0
303,2014, Swan Hill,1629,7779.4
304,2014, Towong,148,2474.1
305,2014, Wangaratta,1689,6062.0
306,2014, Warrnambool,1986,5888.1
307,2014, Wellington,2900,6752.4
308,2014, West Wimmera,99,2451.7
309,2014, Whitehorse,5700,3468.8
310,2014, Whittlesea,10239,5449.2
311,2014, Wodonga,2431,6335.8
312,2014, Wyndham,10157,5040.4
313,2014, Yarra,9958,11416.1
314,2014, Yarra Ranges,5353,3522.5
315,2014, Yarriambiack,189,2729.6
316,2015, Alpine,357,2872.3
317,2015, Ararat,910,7815.2
318,2015, Ballarat,8730,8602.8
319,2015, Banyule,6857,5438.3
320,2015, Bass Coast,1929,5921.5
321,2015, Baw Baw,2490,5205.2
322,2015, Bayside,3643,3597.4
323,2015, Benalla,810,5817.7
324,2015, Boroondara,5897,3374.5
325,2015, Brimbank,14821,7378.8
326,2015, Buloke,178,2822.7
327,2015, Campaspe,2332,6230.5
328,2015, Cardinia,4679,5069.4
329,2015, Casey,15157,5060.3
330,2015, Central Goldfields,846,6532.8
331,2015, Colac-Otway,1193,5619.4
332,2015, Corangamite,507,3115.4
333,2015, Darebin,11474,7550.0
334,2015, East Gippsland,3147,7013.9
335,2015, Frankston,10925,7928.7
336,2015, Gannawarra,456,4328.0
337,2015, Glen Eira,5141,3523.1
338,2015, Glenelg,1227,6221.5
339,2015, Golden Plains,543,2538.8
340,2015, Greater Bendigo,6349,5776.6
341,2015, Greater Dandenong,13515,8660.1
342,2015, Greater Geelong,15451,6633.4
343,2015, Greater Shepparton,5498,8525.5
344,2015, Hepburn,584,3808.5
345,2015, Hindmarsh,162,2789.3
346,2015, Hobsons Bay,5358,5844.6
347,2015, Horsham,1973,9968.7
348,2015, Hume,14882,7509.5
349,2015, Indigo,380,2386.6
350,2015, Kingston,8065,5161.8
351,2015, Knox,7355,4634.5
352,2015, Latrobe,9019,12144.2
353,2015, Loddon,313,4156.2
354,2015, Macedon Ranges,1518,3273.5
355,2015, Manningham,3354,2776.8
356,2015, Mansfield,339,3974.2
357,2015, Maribyrnong,6909,8149.0
358,2015, Maroondah,5792,5124.6
359,2015, Melbourne,24848,18154.2
360,2015, Melton,8376,6208.4
361,2015, Mildura,4680,8641.7
362,2015, Mitchell,2656,6596.5
363,2015, Moira,1104,3769.5
364,2015, Monash,7525,3977.8
365,2015, Moonee Valley,6957,5786.4
366,2015, Moorabool,1602,5046.0
367,2015, Moreland,11167,6652.2
368,2015, Mornington Peninsula,8134,5121.2
369,2015, Mount Alexander,720,3831.0
370,2015, Moyne,407,2453.1
371,2015, Murrindindi,509,3675.6
372,2015, Nillumbik,1941,3048.3
373,2015, Northern Grampians,811,6965.0
374,2015, Port Phillip,9807,9218.8
375,2015, Pyrenees,355,4945.0
376,2015, Queenscliffe,154,5250.6
377,2015, South Gippsland,907,3151.4
378,2015, Southern Grampians,799,4943.7
379,2015, Stonnington,7776,7198.1
380,2015, Strathbogie,359,3528.3
381,2015, Surf Coast,1160,3915.6
382,2015, Swan Hill,1615,7729.9
383,2015, Towong,167,2781.0
384,2015, Wangaratta,1629,5788.3
385,2015, Warrnambool,2157,6343.2
386,2015, Wellington,2965,6867.9
387,2015, West Wimmera,103,2591.8
388,2015, Whitehorse,5781,3468.3
389,2015, Whittlesea,10378,5272.1
390,2015, Wodonga,2617,6672.1
391,2015, Wyndham,11322,5295.2
392,2015, Yarra,10051,11177.3
393,2015, Yarra Ranges,5442,3547.8
394,2015, Yarriambiack,315,4614.7
395,2016, Alpine,267,2122.8
396,2016, Ararat,867,7381.9
397,2016, Ballarat,9475,9154.6
398,2016, Banyule,7482,5870.7
399,2016, Bass Coast,2070,6185.8
400,2016, Baw Baw,2921,5925.4
401,2016, Bayside,4207,4088.0
402,2016, Benalla,1019,7287.9
403,2016, Boroondara,7061,3983.1
404,2016, Brimbank,15099,7394.6
405,2016, Buloke,169,2689.4
406,2016, Campaspe,2815,7487.7
407,2016, Cardinia,5383,5516.9
408,2016, Casey,18201,5818.9
409,2016, Central Goldfields,1013,7740.5
410,2016, Colac-Otway,1445,6764.3
411,2016, Corangamite,733,4512.7
412,2016, Darebin,13227,8526.6
413,2016, East Gippsland,3096,6789.5
414,2016, Frankston,12487,8951.1
415,2016, Gannawarra,491,4646.5
416,2016, Glen Eira,5675,3819.4
417,2016, Glenelg,1374,6953.8
418,2016, Golden Plains,646,2934.2
419,2016, Greater Bendigo,7933,7066.2
420,2016, Greater Dandenong,15470,9655.4
421,2016, Greater Geelong,18628,7776.9
422,2016, Greater Shepparton,6329,9726.1
423,2016, Hepburn,729,4695.7
424,2016, Hindmarsh,235,4062.9
425,2016, Hobsons Bay,5340,5714.6
426,2016, Horsham,1880,9454.8
427,2016, Hume,17663,8531.2
428,2016, Indigo,319,1973.4
429,2016, Kingston,8656,5446.0
430,2016, Knox,9168,5717.4
431,2016, Latrobe,10450,14003.9
432,2016, Loddon,382,5054.2
433,2016, Macedon Ranges,1646,3466.7
434,2016, Manningham,3961,3231.6
435,2016, Mansfield,481,5545.3
436,2016, Maribyrnong,7190,8269.9
437,2016, Maroondah,6768,5895.5
438,2016, Melbourne,28254,19339.3
439,2016, Melton,9066,6410.7
440,2016, Mildura,5091,9314.3
441,2016, Mitchell,3228,7723.4
442,2016, Moira,1369,4642.9
443,2016, Monash,8962,4652.6
444,2016, Moonee Valley,7741,6300.1
445,2016, Moorabool,2005,6136.8
446,2016, Moreland,12121,7035.1
447,2016, Mornington Peninsula,9116,5643.6
448,2016, Mount Alexander,951,4979.8
449,2016, Moyne,491,2933.6
450,2016, Murrindindi,547,3892.7
451,2016, Nillumbik,2264,3527.9
452,2016, Northern Grampians,936,8089.9
453,2016, Port Phillip,10487,9654.1
454,2016, Pyrenees,391,5344.5
455,2016, Queenscliffe,124,4233.5
456,2016, South Gippsland,1139,3911.1
457,2016, Southern Grampians,987,6121.7
458,2016, Stonnington,9177,8267.3
459,2016, Strathbogie,479,4624.9
460,2016, Surf Coast,1093,3587.7
461,2016, Swan Hill,1735,8303.0
462,2016, Towong,176,2911.0
463,2016, Wangaratta,1811,6333.9
464,2016, Warrnambool,2492,7277.6
465,2016, Wellington,3318,7622.3
466,2016, West Wimmera,108,2743.2
467,2016, Whitehorse,6354,3745.6
468,2016, Whittlesea,13079,6316.6
469,2016, Wodonga,2496,6224.4
470,2016, Wyndham,12370,5449.1
471,2016, Yarra,11293,12156.9
472,2016, Yarra Ranges,6453,4157.2
473,2016, Yarriambiack,330,4894.0
474,2017, Alpine,310,2452.9
475,2017, Ararat,912,7757.7
476,2017, Ballarat,8958,8497.3
477,2017, Banyule,7434,5757.7
478,2017, Bass Coast,1936,5630.2
479,2017, Baw Baw,2766,5458.2
480,2017, Bayside,3831,3673.7
481,2017, Benalla,976,6984.4
482,2017, Boroondara,5741,3195.2
483,2017, Brimbank,13247,6399.6
484,2017, Buloke,158,2546.3
485,2017, Campaspe,2505,6662.8
486,2017, Cardinia,4350,4247.9
487,2017, Casey,15066,4610.6
488,2017, Central Goldfields,859,6533.3
489,2017, Colac-Otway,1381,6444.2
490,2017, Corangamite,709,4373.8
491,2017, Darebin,11445,7209.4
492,2017, East Gippsland,2973,6444.0
493,2017, Frankston,10703,7606.0
494,2017, Gannawarra,444,4201.0
495,2017, Glen Eira,5349,3531.7
496,2017, Glenelg,1243,6312.2
497,2017, Golden Plains,499,2211.1
498,2017, Greater Bendigo,7200,6310.8
499,2017, Greater Dandenong,13669,8359.3
500,2017, Greater Geelong,17116,6965.4
501,2017, Greater Shepparton,5940,9061.2
502,2017, Hepburn,660,4222.9
503,2017, Hindmarsh,278,4861.8
504,2017, Hobsons Bay,4908,5162.5
505,2017, Horsham,1575,7920.5
506,2017, Hume,15048,6991.3
507,2017, Indigo,377,2308.2
508,2017, Kingston,7696,4778.6
509,2017, Knox,8432,5210.5
510,2017, Latrobe,9282,12391.2
511,2017, Loddon,295,3929.7
512,2017, Macedon Ranges,1600,3304.3
513,2017, Manningham,3699,2976.6
514,2017, Mansfield,494,5616.2
515,2017, Maribyrnong,6466,7235.7
516,2017, Maroondah,6300,5416.0
517,2017, Melbourne,26518,16663.2
518,2017, Melton,8049,5415.9
519,2017, Mildura,4804,8712.1
520,2017, Mitchell,3059,7130.0
521,2017, Moira,1450,4890.1
522,2017, Monash,8175,4151.4
523,2017, Moonee Valley,6668,5316.9
524,2017, Moorabool,1737,5194.1
525,2017, Moreland,10525,5947.2
526,2017, Mornington Peninsula,8463,5165.6
527,2017, Mount Alexander,767,3974.7
528,2017, Moyne,465,2769.0
529,2017, Murrindindi,546,3835.9
530,2017, Nillumbik,1845,2855.2
531,2017, Northern Grampians,842,7310.9
532,2017, Port Phillip,9689,8756.0
533,2017, Pyrenees,357,4851.9
534,2017, Queenscliffe,126,4258.2
535,2017, South Gippsland,1004,3424.2
536,2017, Southern Grampians,984,6103.1
537,2017, Stonnington,7895,6939.3
538,2017, Strathbogie,438,4177.8
539,2017, Surf Coast,996,3177.3
540,2017, Swan Hill,1773,8504.8
541,2017, Towong,174,2881.3
542,2017, Wangaratta,1780,6169.2
543,2017, Warrnambool,2650,7665.8
544,2017, Wellington,2722,6214.5
545,2017, West Wimmera,126,3235.7
546,2017, Whitehorse,6513,3759.0
547,2017, Whittlesea,11342,5258.6
548,2017, Wodonga,2423,5937.0
549,2017, Wyndham,10855,4502.8
550,2017, Yarra,10562,11002.8
551,2017, Yarra Ranges,5720,3646.4
552,2017, Yarriambiack,355,5311.2
553,2018, Alpine,393,3087.2
554,2018, Ararat,900,7630.4
555,2018, Ballarat,8054,7504.4
556,2018, Banyule,7167,5502.5
557,2018, Bass Coast,1661,4701.9
558,2018, Baw Baw,3165,6085.1
559,2018, Bayside,3697,3496.1
560,2018, Benalla,874,6232.6
561,2018, Boroondara,5603,3089.2
562,2018, Brimbank,14573,6981.3
563,2018, Buloke,182,2943.6
564,2018, Campaspe,2841,7557.9
565,2018, Cardinia,4571,4267.3
566,2018, Casey,15895,4668.9
567,2018, Central Goldfields,970,7344.0
568,2018, Colac-Otway,1269,5901.8
569,2018, Corangamite,539,3339.7
570,2018, Darebin,11606,7179.6
571,2018, East Gippsland,3171,6773.3
572,2018, Frankston,11298,7964.9
573,2018, Gannawarra,519,4921.3
574,2018, Glen Eira,4975,3232.2
575,2018, Glenelg,1030,5238.0
576,2018, Golden Plains,509,2201.7
577,2018, Greater Bendigo,7734,6664.9
578,2018, Greater Dandenong,14078,8473.6
579,2018, Greater Geelong,16013,6348.6
580,2018, Greater Shepparton,6196,9386.7
581,2018, Hepburn,602,3807.2
582,2018, Hindmarsh,255,4518.1
583,2018, Hobsons Bay,4813,4988.5
584,2018, Horsham,1575,7924.9
585,2018, Hume,15544,6926.2
586,2018, Indigo,342,2074.1
587,2018, Kingston,8532,5219.9
588,2018, Knox,8075,4947.6
589,2018, Latrobe,9908,13174.0
590,2018, Loddon,390,5191.0
591,2018, Macedon Ranges,1660,3361.2
592,2018, Manningham,3347,2666.2
593,2018, Mansfield,333,3708.7
594,2018, Maribyrnong,6938,7589.7
595,2018, Maroondah,5913,5032.1
596,2018, Melbourne,26893,15790.0
597,2018, Melton,8053,5138.5
598,2018, Mildura,5547,9991.7
599,2018, Mitchell,2998,6767.8
600,2018, Moira,1566,5255.6
601,2018, Monash,8231,4111.1
602,2018, Moonee Valley,6684,5225.7
603,2018, Moorabool,1764,5164.5
604,2018, Moreland,11611,6387.4
605,2018, Mornington Peninsula,8136,4906.4
606,2018, Mount Alexander,691,3541.0
607,2018, Moyne,428,2534.5
608,2018, Murrindindi,571,3943.9
609,2018, Nillumbik,1645,2533.1
610,2018, Northern Grampians,764,6684.2
611,2018, Port Phillip,9958,8791.8
612,2018, Pyrenees,340,4624.0
613,2018, Queenscliffe,101,3387.0
614,2018, South Gippsland,1023,3459.0
615,2018, Southern Grampians,1111,6886.1
616,2018, Stonnington,8338,7170.6
617,2018, Strathbogie,440,4133.8
618,2018, Surf Coast,878,2722.3
619,2018, Swan Hill,1781,8579.0
620,2018, Towong,178,2940.2
621,2018, Wangaratta,1740,5982.3
622,2018, Warrnambool,2907,8338.4
623,2018, Wellington,2824,6415.7
624,2018, West Wimmera,128,3314.3
625,2018, Whitehorse,6251,3546.2
626,2018, Whittlesea,11777,5273.0
627,2018, Wodonga,2385,5756.8
628,2018, Wyndham,11290,4421.1
629,2018, Yarra,11314,11478.5
630,2018, Yarra Ranges,5541,3503.2
631,2018, Yarriambiack,335,5031.5
632,2019, Alpine,426,3324.5
633,2019, Ararat,853,7201.4
634,2019, Ballarat,8931,8155.8
635,2019, Banyule,7047,5353.6
636,2019, Bass Coast,1836,5055.1
637,2019, Baw Baw,3606,6753.3
638,2019, Bayside,4016,3758.1
639,2019, Benalla,961,6846.2
640,2019, Boroondara,6177,3371.7
641,2019, Brimbank,15153,7232.1
642,2019, Buloke,242,3951.7
643,2019, Campaspe,2918,7756.1
644,2019, Cardinia,5257,4687.1
645,2019, Casey,16646,4704.0
646,2019, Central Goldfields,892,6764.8
647,2019, Colac-Otway,1287,5968.3
648,2019, Corangamite,524,3270.9
649,2019, Darebin,11420,6955.6
650,2019, East Gippsland,3645,7703.5
651,2019, Frankston,11037,7737.5
652,2019, Gannawarra,630,6016.0
653,2019, Glen Eira,5698,3640.6
654,2019, Glenelg,1081,5494.6
655,2019, Golden Plains,485,2044.5
656,2019, Greater Bendigo,8439,7146.1
657,2019, Greater Dandenong,14695,8736.6
658,2019, Greater Geelong,16494,6370.0
659,2019, Greater Shepparton,6349,9547.7
660,2019, Hepburn,724,4532.1
661,2019, Hindmarsh,229,4098.1
662,2019, Hobsons Bay,4999,5114.0
663,2019, Horsham,1320,6626.2
664,2019, Hume,15879,6801.3
665,2019, Indigo,434,2598.6
666,2019, Kingston,8921,5381.2
667,2019, Knox,8792,5343.4
668,2019, Latrobe,10104,13372.0
669,2019, Loddon,373,4970.7
670,2019, Macedon Ranges,1744,3472.0
671,2019, Manningham,3824,2997.5
672,2019, Mansfield,315,3432.9
673,2019, Maribyrnong,6909,7393.4
674,2019, Maroondah,5996,5057.4
675,2019, Melbourne,26971,15071.4
676,2019, Melton,9080,5506.5
677,2019, Mildura,5553,9955.7
678,2019, Mitchell,3141,6816.1
679,2019, Moira,1939,6479.5
680,2019, Monash,9072,4472.3
681,2019, Moonee Valley,6476,4970.3
682,2019, Moorabool,1597,4556.5
683,2019, Moreland,10845,5838.0
684,2019, Mornington Peninsula,8658,5164.8
685,2019, Mount Alexander,911,4611.7
686,2019, Moyne,506,2984.7
687,2019, Murrindindi,604,4145.5
688,2019, Nillumbik,1655,2542.5
689,2019, Northern Grampians,764,6700.6
690,2019, Port Phillip,9806,8482.6
691,2019, Pyrenees,411,5500.5
692,2019, Queenscliffe,105,3571.4
693,2019, South Gippsland,1314,4392.6
694,2019, Southern Grampians,945,5869.6
695,2019, Stonnington,9054,7688.0
696,2019, Strathbogie,447,4146.2
697,2019, Surf Coast,1003,2998.0
698,2019, Swan Hill,1872,9065.8
699,2019, Towong,149,2466.9
700,2019, Wangaratta,1764,6043.8
701,2019, Warrnambool,2604,7401.7
702,2019, Wellington,3274,7377.2
703,2019, West Wimmera,130,3384.5
704,2019, Whitehorse,7272,4068.5
705,2019, Whittlesea,12068,5241.5
706,2019, Wodonga,2793,6636.9
707,2019, Wyndham,13220,4887.5
708,2019, Yarra,11074,10910.9
709,2019, Yarra Ranges,6163,3864.9
710,2019, Yarriambiack,298,4488.6
711,2020, Alpine,413,3212.0
712,2020, Ararat,1104,9307.2
713,2020, Ballarat,7383,6623.1
714,2020, Banyule,6717,5074.3
715,2020, Bass Coast,2053,5538.3
716,2020, Baw Baw,3690,6749.4
717,2020, Bayside,4138,3842.1
718,2020, Benalla,996,7077.6
719,2020, Boroondara,6252,3390.1
720,2020, Brimbank,15399,7325.9
721,2020, Buloke,284,4667.9
722,2020, Campaspe,2500,6642.5
723,2020, Cardinia,5844,4987.4
724,2020, Casey,17296,4736.1
725,2020, Central Goldfields,809,6116.5
726,2020, Colac-Otway,1364,6317.4
727,2020, Corangamite,651,4088.8
728,2020, Darebin,12046,7265.3
729,2020, East Gippsland,3686,7713.7
